post_number,person_who_shared,url_of_person_who_shared
2,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
2,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
2,Tanzim Al Fardin,https://www.facebook.com/groups/503946360839552/user/100010463173823/
2,Fahim Shahriar Nishan,https://www.facebook.com/groups/503946360839552/user/100013470720746/
2,Sourave Kapoor,https://www.facebook.com/groups/503946360839552/user/100002549602826/
2,Mahfuzur Rahman Khan,https://www.facebook.com/groups/503946360839552/user/100048572736177/
2,ইয়া সাফিউল বারি,https://www.facebook.com/groups/503946360839552/user/100009288092937/
2,Amzad Hossain,https://www.facebook.com/groups/503946360839552/user/100017299770693/
2,Sajid Ahmed,https://www.facebook.com/groups/503946360839552/user/100037092645170/
2,Nafiur Rahman Nayeem,https://www.facebook.com/groups/503946360839552/user/100061301400166/
2,অমিত হাসান,https://www.facebook.com/groups/503946360839552/user/61578991780072/
3,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
3,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
3,Tanzim Al Fardin,https://www.facebook.com/groups/503946360839552/user/100010463173823/
3,Fahim Shahriar Nishan,https://www.facebook.com/groups/503946360839552/user/100013470720746/
3,Sourave Kapoor,https://www.facebook.com/groups/503946360839552/user/100002549602826/
3,Mahfuzur Rahman Khan,https://www.facebook.com/groups/503946360839552/user/100048572736177/
3,ইয়া সাফিউল বারি,https://www.facebook.com/groups/503946360839552/user/100009288092937/
3,Amzad Hossain,https://www.facebook.com/groups/503946360839552/user/100017299770693/
3,Sajid Ahmed,https://www.facebook.com/groups/503946360839552/user/100037092645170/
3,Nafiur Rahman Nayeem,https://www.facebook.com/groups/503946360839552/user/100061301400166/
3,অমিত হাসান,https://www.facebook.com/groups/503946360839552/user/61578991780072/
4,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
4,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
4,Tanzim Al Fardin,https://www.facebook.com/groups/503946360839552/user/100010463173823/
4,Fahim Shahriar Nishan,https://www.facebook.com/groups/503946360839552/user/100013470720746/
4,Sourave Kapoor,https://www.facebook.com/groups/503946360839552/user/100002549602826/
4,Mahfuzur Rahman Khan,https://www.facebook.com/groups/503946360839552/user/100048572736177/
4,ইয়া সাফিউল বারি,https://www.facebook.com/groups/503946360839552/user/100009288092937/
4,Amzad Hossain,https://www.facebook.com/groups/503946360839552/user/100017299770693/
4,Sajid Ahmed,https://www.facebook.com/groups/503946360839552/user/100037092645170/
4,Nafiur Rahman Nayeem,https://www.facebook.com/groups/503946360839552/user/100061301400166/
4,অমিত হাসান,https://www.facebook.com/groups/503946360839552/user/61578991780072/
5,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
5,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
5,Tanzim Al Fardin,https://www.facebook.com/groups/503946360839552/user/100010463173823/
5,Fahim Shahriar Nishan,https://www.facebook.com/groups/503946360839552/user/100013470720746/
5,Sourave Kapoor,https://www.facebook.com/groups/503946360839552/user/100002549602826/
5,Mahfuzur Rahman Khan,https://www.facebook.com/groups/503946360839552/user/100048572736177/
5,ইয়া সাফিউল বারি,https://www.facebook.com/groups/503946360839552/user/100009288092937/
5,Amzad Hossain,https://www.facebook.com/groups/503946360839552/user/100017299770693/
5,Sajid Ahmed,https://www.facebook.com/groups/503946360839552/user/100037092645170/
5,Nafiur Rahman Nayeem,https://www.facebook.com/groups/503946360839552/user/100061301400166/
5,অমিত হাসান,https://www.facebook.com/groups/503946360839552/user/61578991780072/
6,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
6,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
6,Tanzim Al Fardin,https://www.facebook.com/groups/503946360839552/user/100010463173823/
6,Fahim Shahriar Nishan,https://www.facebook.com/groups/503946360839552/user/100013470720746/
6,Sourave Kapoor,https://www.facebook.com/groups/503946360839552/user/100002549602826/
6,Mahfuzur Rahman Khan,https://www.facebook.com/groups/503946360839552/user/100048572736177/
6,ইয়া সাফিউল বারি,https://www.facebook.com/groups/503946360839552/user/100009288092937/
6,Amzad Hossain,https://www.facebook.com/groups/503946360839552/user/100017299770693/
6,Sajid Ahmed,https://www.facebook.com/groups/503946360839552/user/100037092645170/
6,Nafiur Rahman Nayeem,https://www.facebook.com/groups/503946360839552/user/100061301400166/
6,অমিত হাসান,https://www.facebook.com/groups/503946360839552/user/61578991780072/
7,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
7,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
7,Tanzim Al Fardin,https://www.facebook.com/groups/503946360839552/user/100010463173823/
7,Fahim Shahriar Nishan,https://www.facebook.com/groups/503946360839552/user/100013470720746/
